corp_code,corp_name,stock_code,business_year,fs_label,revenue_current,revenue_previous,op_current,op_previous,revenue_account_name,op_account_name,current_period_name,previous_period_name
00122579,BYC,001460,2025,연결재무제표,163166613171.0,165207568941.0,26573558468.0,23832906913.0,매출액,영업이익,제 71 기,제 70 기
00407814,CG인바이츠,083790,2023,연결재무제표,4878663471.0,4321329651.0,-30912972988.0,-23046289720.0,매출액,영업이익(손실),제 24 기,제 23 기
00407814,CG인바이츠,083790,2024,연결재무제표,7253270324.0,4878663471.0,-38813380435.0,-30912972988.0,수익(매출액),영업이익(손실),제 25 기,제 24 기
00407814,CG인바이츠,083790,2025,연결재무제표,27391445369.0,7253270324.0,-23757345761.0,-38813380435.0,매출액,영업이익(손실),제 26 기,제 25 기
00148540,CJ,001040,2023,연결재무제표,41352688159000.0,40924879773000.0,2039057889000.0,2154201790000.0,매출액,영업이익(손실),제 71 기,제 70 기
00148540,CJ,001040,2024,연결재무제표,43646656090000.0,41352688159000.0,2547483645000.0,2039057889000.0,수익(매출액),영업이익(손실),제 72 기,제 71 기
00148540,CJ,001040,2025,연결재무제표,45018829227000.0,43646656090000.0,2527738458000.0,2532252269000.0,총매출액,영업이익,제 73 기,제 72 기
00303873,CJ CGV,079160,2023,연결재무제표,1545839243146.0,1273191852459.0,49065796701.0,-70236132416.0,영업수익,영업이익(손실),제 25 기,제 24 기
00303873,CJ CGV,079160,2024,연결재무제표,1957884214182.0,1545839243146.0,75933768898.0,49065796701.0,영업수익,영업이익(손실),제 26 기,제 25 기
00303873,CJ CGV,079160,2025,연결재무제표,2275369359771.0,1957884214182.0,96217499551.0,75933768898.0,영업수익,영업이익(손실),제 27 기,제 26 기
00265324,CJ ENM,035760,2023,연결재무제표,4368360656512.0,4792237788876.0,-14600377588.0,137375904912.0,매출액,영업이익(손실),제 30 기,제 29 기
00265324,CJ ENM,035760,2024,연결재무제표,5231360073502.0,4368360656512.0,104478244497.0,-14600377588.0,매출액,영업이익(손실),제 31 기,제 30 기
00265324,CJ ENM,035760,2025,연결재무제표,5134511101925.0,5231360073502.0,132887741945.0,104478244497.0,매출액,영업이익(손실),제 32 기,제 31 기
01071041,CJ 바이오사이언스,311690,2023,연결재무제표,5575053720.0,4074661697.0,-32056613825.0,-33233168641.0,수익(매출액),영업이익(손실),제 15 기,제 14 기
